title,price,location,url,image
FEATURED,,FEATURED,https://www.olx.in/item/other-services-c625-covered-car-parking-with-8-cctv-camera-secure-flood-free-pallavaram-in-pallavaram-essa-chennai-iid-1819280506,https://apollo.olx.in:443/v1/files/7969iixxell31-IN/image;s=150x0;q=50;f=webp;
FEATURED,₹ 500,FEATURED,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-periyamet-chennai-iid-1813208782,https://apollo.olx.in:443/v1/files/56xwmkr0uq3q2-IN/image;s=150x0;q=50;f=webp;
FEATURED,"₹ 36,00,000",FEATURED,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-896-sq-ft-in-tollygunge-kolkata-iid-1811282616,https://apollo.olx.in:443/v1/files/n7azqbryng2d3-IN/image;s=150x0;q=50;f=webp;
"₹ 22,000","₹ 22,000","₹ 22,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-900-sq-ft-in-ambegaon-pune-iid-1819509863,https://apollo.olx.in:443/v1/files/6sb4ueqtsqt71-IN/image;s=150x0;q=50;f=webp;
"₹ 3,50,000","₹ 3,50,000","₹ 3,50,000",https://www.olx.in/item/cars-c84-used-hyundai-xcent-prime-in-tilapta-greater-noida-iid-1819491297,https://apollo.olx.in:443/v1/files/4t0hbp2yj1vk2-IN/image;s=150x0;q=50;f=webp;
"₹ 18,000","₹ 18,000","₹ 18,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1200-sq-ft-in-medavakkam-chennai-iid-1818136585,https://apollo.olx.in:443/v1/files/mh53enqbzmvt3-IN/image;s=150x0;q=50;f=webp;
"₹ 70,00,000","₹ 70,00,000","₹ 70,00,000",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-950-sq-ft-in-katraj-pune-iid-1819488827,https://apollo.olx.in:443/v1/files/agryr4d8f2z1-IN/image;s=150x0;q=50;f=webp;
"₹ 22,000","₹ 22,000","₹ 22,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-1400-sq-ft-in-korattur-kuppu-reddy-nagar-chennai-iid-1819168877,https://apollo.olx.in:443/v1/files/yexc6z2g0duy-IN/image;s=150x0;q=50;f=webp;
"₹ 1,50,00,000","₹ 1,50,00,000","₹ 1,50,00,000",https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-apartments-1800-sq-ft-in-nibm-road-kondhwa-pune-iid-1746430836,
"₹ 3,500","₹ 3,500","₹ 3,500",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-perambur-jagannathan-colony-chennai-iid-1819195286,
"₹ 1,99,00,000","₹ 1,99,00,000","₹ 1,99,00,000
3 BHK - 3 Bathroom - 1800 sqft
3BHK SUPER SPACIOUS VERY BIG FLAT FOR SALE WITH 2 COVERED CAR PARKING
MIRA ROAD, MUMBAI
TODAY",https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-apartments-1800-sq-ft-in-mira-road-mumbai-iid-1808973820,
"₹ 83,00,000","₹ 83,00,000","₹ 83,00,000",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-1345-sq-ft-in-nolambur-chennai-iid-1816505825,
Wagnor 2018 model Car Cover 1000/-,,"Wagnor 2018 model Car Cover 1000/-
CHERAKURI, KARIMGANJ
TODAY",https://www.olx.in/item/other-services-c625-wagnor-2018-model-car-cover-1000-in-cherakuri-karimganj-iid-1819466317,
"₹ 2,600","₹ 2,600","₹ 2,600
Car cover for hatchback vehicle
THARAMANI KANAGAM, CHENNAI
YESTERDAY",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-tharamani-kanagam-chennai-iid-1819463289,
"₹ 12,000","₹ 12,000","₹ 12,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-houses-villas-1500-sq-ft-in-sri-puram-vellore-iid-1818733001,https://apollo.olx.in:443/v1/files/yrh2einb24vp1-IN/image;s=150x0;q=50;f=webp;
₹ 699,₹ 699,"BEGUMPET, HYDERABAD
YESTERDAY",https://www.olx.in/item/spare-parts-c1585-brembo-brake-caliper-covers-all-colours-available-for-all-cars-in-begumpet-hyderabad-iid-1805724400,https://apollo.olx.in:443/v1/files/ep3qq237eju53-ADVIN/image;s=150x0;q=50;f=webp;
"₹ 68,90,000","₹ 68,90,000","₹ 68,90,000",https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-apartments-1350-sq-ft-in-airport-road-mohali-iid-1819459913,https://apollo.olx.in:443/v1/files/rhkbrrl6z0zl-IN/image;s=150x0;q=50;f=webp;
"₹ 12,000","₹ 12,000","₹ 12,000
1 BHK - 1 Bathroom - 645 sqft
Covered car parking with children play area, solar water heater, lift
CHINCHWAD, PUNE
YESTERDAY",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-645-sq-ft-in-chinchwad-pune-iid-1819455454,https://apollo.olx.in:443/v1/files/py0aru4p2trp3-IN/image;s=150x0;q=50;f=webp;
"₹ 62,00,000","₹ 62,00,000","₹ 62,00,000",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-985-sq-ft-in-raj-nagar-extension-ghaziabad-iid-1818606780,https://apollo.olx.in:443/v1/files/69wnn12me63x1-IN/image;s=150x0;q=50;f=webp;
"₹ 42,00,000","₹ 42,00,000","₹ 42,00,000",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-846-sq-ft-in-rajarhat-chowmatha-kolkata-iid-1819445528,https://apollo.olx.in:443/v1/files/2j9leaaq8ao33-IN/image;s=150x0;q=50;f=webp;
